dsid,cdid,topic
pnbp,aa6h,/economy/nationalaccounts/balanceofpayments
pnbp,aiop,/economy/nationalaccounts/balanceofpayments
pnbp,apql,/economy/nationalaccounts/balanceofpayments
pnbp,bokg,/economy/nationalaccounts/balanceofpayments
pnbp,bokh,/economy/nationalaccounts/balanceofpayments
pnbp,boki,/economy/nationalaccounts/balanceofpayments
pnbp,bopl,/economy/nationalaccounts/balanceofpayments
pnbp,bopm,/economy/nationalaccounts/balanceofpayments
pnbp,bopo,/economy/nationalaccounts/balanceofpayments
pnbp,bopp,/economy/nationalaccounts/balanceofpayments
pnbp,boqi,/economy/nationalaccounts/balanceofpayments
pnbp,boql,/economy/nationalaccounts/balanceofpayments
pnbp,bpbi,/economy/nationalaccounts/balanceofpayments
pnbp,bqar,/economy/nationalaccounts/balanceofpayments
pnbp,bqas,/economy/nationalaccounts/balanceofpayments
pnbp,bqau,/economy/nationalaccounts/balanceofpayments
pnbp,bqav,/economy/nationalaccounts/balanceofpayments
pnbp,bqaw,/economy/nationalaccounts/balanceofpayments
pnbp,bqkx,/economy/nationalaccounts/balanceofpayments
pnbp,cgdn,/economy/nationalaccounts/balanceofpayments
pnbp,cgdo,/economy/nationalaccounts/balanceofpayments
pnbp,cgdp,/economy/nationalaccounts/balanceofpayments
pnbp,cgdr,/economy/nationalaccounts/balanceofpayments
pnbp,cgds,/economy/nationalaccounts/balanceofpayments
pnbp,cgdt,/economy/nationalaccounts/balanceofpayments
pnbp,cgdu,/economy/nationalaccounts/balanceofpayments
pnbp,cgdv,/economy/nationalaccounts/balanceofpayments
pnbp,cgdw,/economy/nationalaccounts/balanceofpayments
pnbp,cgdx,/economy/nationalaccounts/balanceofpayments
pnbp,cgdz,/economy/nationalaccounts/balanceofpayments
pnbp,cgeb,/economy/nationalaccounts/balanceofpayments
pnbp,cgec,/economy/nationalaccounts/balanceofpayments
pnbp,cged,/economy/nationalaccounts/balanceofpayments
pnbp,cgee,/economy/nationalaccounts/balanceofpayments
pnbp,cgff,/economy/nationalaccounts/balanceofpayments
pnbp,cgmo,/economy/nationalaccounts/balanceofpayments
pnbp,cgna,/economy/nationalaccounts/balanceofpayments
pnbp,cgne,/economy/nationalaccounts/balanceofpayments
pnbp,cgnf,/economy/nationalaccounts/balanceofpayments
pnbp,cgng,/economy/nationalaccounts/balanceofpayments
pnbp,cgnh,/economy/nationalaccounts/balanceofpayments
pnbp,cyfv,/economy/nationalaccounts/balanceofpayments
pnbp,d28j,/economy/nationalaccounts/balanceofpayments
pnbp,d28k,/economy/nationalaccounts/balanceofpayments
pnbp,d28l,/economy/nationalaccounts/balanceofpayments
pnbp,d28m,/economy/nationalaccounts/balanceofpayments
pnbp,d28n,/economy/nationalaccounts/balanceofpayments
pnbp,ebgo,/economy/nationalaccounts/balanceofpayments
pnbp,elbe,/economy/nationalaccounts/balanceofpayments
pnbp,elbf,/economy/nationalaccounts/balanceofpayments
pnbp,elbh,/economy/nationalaccounts/balanceofpayments
pnbp,elbi,/economy/nationalaccounts/balanceofpayments
pnbp,elbl,/economy/nationalaccounts/balanceofpayments
pnbp,eniw,/economy/nationalaccounts/balanceofpayments
pnbp,enxo,/economy/nationalaccounts/balanceofpayments
pnbp,enxq,/economy/nationalaccounts/balanceofpayments
pnbp,fapo,/economy/nationalaccounts/balanceofpayments
pnbp,fdsg,/economy/nationalaccounts/balanceofpayments
pnbp,fdtf,/economy/nationalaccounts/balanceofpayments
pnbp,fdyi,/economy/nationalaccounts/balanceofpayments
pnbp,fdyq,/economy/nationalaccounts/balanceofpayments
pnbp,feba,/economy/nationalaccounts/balanceofpayments
pnbp,fehh,/economy/nationalaccounts/balanceofpayments
pnbp,fgxj,/economy/nationalaccounts/balanceofpayments
pnbp,fgza,/economy/nationalaccounts/balanceofpayments
pnbp,fhdm,/economy/nationalaccounts/balanceofpayments
pnbp,fhib,/economy/nationalaccounts/balanceofpayments
pnbp,fhit,/economy/nationalaccounts/balanceofpayments
pnbp,fhiu,/economy/nationalaccounts/balanceofpayments
pnbp,fhiv,/economy/nationalaccounts/balanceofpayments
pnbp,fhja,/economy/nationalaccounts/balanceofpayments
pnbp,fhjb,/economy/nationalaccounts/balanceofpayments
pnbp,fhjd,/economy/nationalaccounts/balanceofpayments
pnbp,fhjf,/economy/nationalaccounts/balanceofpayments
pnbp,fhjl,/economy/nationalaccounts/balanceofpayments
pnbp,fhld,/economy/nationalaccounts/balanceofpayments
pnbp,fhme,/economy/nationalaccounts/balanceofpayments
pnbp,fiou,/economy/nationalaccounts/balanceofpayments
pnbp,fipt,/economy/nationalaccounts/balanceofpayments
pnbp,fity,/economy/nationalaccounts/balanceofpayments
pnbp,fiug,/economy/nationalaccounts/balanceofpayments
pnbp,fivx,/economy/nationalaccounts/balanceofpayments
pnbp,fiwf,/economy/nationalaccounts/balanceofpayments
pnbp,fjuq,/economy/nationalaccounts/balanceofpayments
pnbp,fjur,/economy/nationalaccounts/balanceofpayments
pnbp,fkkm,/economy/nationalaccounts/balanceofpayments
pnbp,fkmj,/economy/nationalaccounts/balanceofpayments
pnbp,fkoa,/economy/nationalaccounts/balanceofpayments
pnbp,flmt,/economy/nationalaccounts/balanceofpayments
pnbp,flqj,/economy/nationalaccounts/balanceofpayments
pnbp,flsa,/economy/nationalaccounts/balanceofpayments
pnbp,flud,/economy/nationalaccounts/balanceofpayments
pnbp,fluz,/economy/nationalaccounts/balanceofpayments
pnbp,flwa,/economy/nationalaccounts/balanceofpayments
pnbp,flwb,/economy/nationalaccounts/balanceofpayments
pnbp,flwd,/economy/nationalaccounts/balanceofpayments
pnbp,flwh,/economy/nationalaccounts/balanceofpayments
pnbp,flwi,/economy/nationalaccounts/balanceofpayments
pnbp,flwl,/economy/nationalaccounts/balanceofpayments
pnbp,flwq,/economy/nationalaccounts/balanceofpayments
pnbp,flwt,/economy/nationalaccounts/balanceofpayments
